aardvark, ɑrdvɑrk, 'ɑrdˌvɑrk
chortle, tʃɔrtəl, 'tʃɔr təl
chortled, tʃɔrtəld, 'tʃɔr təld
chortles, tʃɔrtəlz, 'tʃɔr təlz
chortling, tʃɔrtəlɪŋ, 'tʃɔr tə lɪŋ
chortling, tʃɔrtlɪŋ, 'tʃɔrt lɪŋ
chorus, kɔrəs, 'kɔ rəs
choruses, kɔrəsɪz, 'kɔ rə sɪz
chose, tʃoz, tʃoz
chosen, tʃozən, 'tʃo zən
chow, tʃaʊ, tʃaʊ
chowder, tʃaʊdər, 'tʃaʊ dər
chows, tʃaʊz, tʃaʊz
chrismon, krɪzmən, 'krɪz mən
christen, krɪsən, 'krɪ sən
christened, krɪsənd, 'krɪ sənd
christening, krɪsənɪŋ, 'krɪ sə nɪŋ
christening, krɪsnɪŋ, 'krɪ snɪŋ
christie, krɪsti, 'krɪ sti
christies, krɪstiz, 'krɪ stiz
christy, krɪsti, 'krɪ sti
chromatogram, kromætəgræm, kro'mæ tə græm
chromatograms, kromætəgræmz, kro'mæ tə græmz
chromatography, kromətɑgrəfi, kro mə'tɑ grə fi
chrome, krom, krom
chrominance, kromənəns, 'kro mə nəns
chromium, kromiəm, 'kro miəm
chromosome, kroməsom, 'kro məˌsom
chromosome, kroməzom, 'kro məˌzom
chromosomes, kroməzomz, 'kro məˌzomz
chromosomes, kroməsomz, 'kro məˌsomz
chronic, krɑnɪk, 'krɑ nɪk
chronically, krɑnɪkəli, 'krɑ nɪ kə li
chronically, krɑnɪkli, 'krɑ nɪ kli
chronicle, krɑnɪkəl, 'krɑ nɪ kəl
chronicled, krɑnɪkəld, 'krɑ nɪ kəld
chronicler, krɑnɪklər, 'krɑ nɪ klər
chroniclers, krɑnɪklərz, 'krɑ nɪ klərz
chronicles, krɑnɪkəlz, 'krɑ nɪ kəlz
chronicling, krɑnɪklɪŋ, 'krɑ nɪ klɪŋ
chronological, krɑnəlɑdʒɪkəl, ˌkrɑ nə'lɑ dʒɪ kəl
chronologically, krɑnəlɑdʒɪkli, ˌkrɑ nə'lɑ dʒɪ kli
chronologies, krənɑlədʒiz, krə'nɑ lə dʒiz
chronology, krənɑlədʒi, krə'nɑ lə dʒi
chrysalis, krɪsəlɪs, 'krɪ sə lɪs
chrysanthemum, krɪsænθəməm, krɪ'sæn θə məm
chrysanthemums, krɪsænθəməmz, krɪ'sæn θə məmz
chubby, tʃʌbi, 'tʃʌ bi
chuck, tʃʌk, tʃʌk
chucked, tʃʌkt, tʃʌkt
chucking, tʃʌkɪŋ, 'tʃʌ kɪŋ
chuckle, tʃʌkəl, 'tʃʌ kəl
chuckled, tʃʌkəld, 'tʃʌ kəld
chuckles, tʃʌkəlz, 'tʃʌ kəlz
chuckling, tʃʌklɪŋ, 'tʃʌ klɪŋ
chug, tʃʌg, tʃʌg
chugged, tʃʌgd, tʃʌgd
chugging, tʃʌgɪŋ, 'tʃʌ gɪŋ
chum, tʃʌm, tʃʌm
chummy, tʃʌmi, 'tʃʌ mi
chump, tʃʌmp, tʃʌmp
chums, tʃʌmz, tʃʌmz
chunk, tʃʌŋk, tʃʌŋk
chunks, tʃʌŋks, tʃʌŋks
chunky, tʃʌŋki, 'tʃʌŋ ki
church, tʃɜrtʃ, tʃɜrtʃ
churches, tʃɜrtʃəz, 'tʃɜr tʃəz
churches, tʃɜrtʃɪz, 'tʃɜr tʃɪz
churchgoer, tʃɜrtʃgoər, 'tʃɜrtʃˌgo ər
churchgoers, tʃɜrtʃgoərz, 'tʃɜrtʃˌgo ərz
churchgoing, tʃɜrtʃgoɪŋ, 'tʃɜrtʃˌgo ɪŋ
churchman, tʃɜrtʃmən, 'tʃɜrtʃ mən
churchmen, tʃɜrtʃmən, 'tʃɜrtʃ mən
churchyard, tʃɜrtʃjɑrd, 'tʃɜrtʃˌjɑrd
churlish, tʃɜrlɪʃ, 'tʃɜr lɪʃ
churn, tʃɜrn, tʃɜrn
churned, tʃɜrnd, tʃɜrnd
churning, tʃɜrnɪŋ, 'tʃɜr nɪŋ
churns, tʃɜrnz, tʃɜrnz
chute, ʃut, ʃut
chutes, ʃuts, ʃuts
chutney, tʃʌtni, 'tʃʌt ni
chutzpah, tʃʌtspɑ, 'tʃʌtˌspɑ
chutzpah, hʊtspɑ, 'hʊtˌspɑ
ciao, tʃaʊ, tʃaʊ
cicada, səkedə, sə'ke də
cicadas, sɪkedəz, sɪ'ke dəz
cicala, sɪkɑlə, sɪ'kɑ lə
cicely, sɪsəli, 'sɪ sə li
cicero, sɪsəro, 'sɪ səˌro
cicerone, sɪsəron, 'sɪ səˌron
cider, saɪdər, 'saɪ dər
cigar, sɪgɑr, sɪ'gɑr
cigarette, sɪgərɛt, ˌsɪ gə'rɛt
cigarettes, sɪgərɛts, ˌsɪ gə'rɛts
cigars, sɪgɑrz, sɪ'gɑrz
cilantro, sɪlæntro, sɪ'læn tro
ciliates, sɪliəts, 'sɪ liəts
cinch, sɪntʃ, sɪntʃ
cinched, sɪntʃt, sɪntʃt
cinder, sɪndər, 'sɪn dər
cinders, sɪndərz, 'sɪn dərz
cinema, sɪnəmə, 'sɪ nə mə
cinemas, sɪnəməz, 'sɪ nə məz
cinematic, sɪnəmætɪk, ˌsɪ nə'mæ tɪk
cinematographer, sɪnɪmətɑgrəfər, ˌsɪ nɪ mə'tɑ grə fər
cinematography, sɪnɪmətɑgrəfi, ˌsɪ nɪ mə'tɑ grə fi
cinnabar, sɪnəbɑr, 'sɪ nəˌbɑr
cinnamon, sɪnəmən, 'sɪ nə mən
cinque, sɪŋk, sɪŋk
cipher, saɪfər, 'saɪ fər
circa, sɜrkə, 'sɜr kə
circadian, sərkediən, sər'ke diən
circle, sɜrkəl, 'sɜr kəl
circled, sɜrkəld, 'sɜr kəld
circles, sɜrkəlz, 'sɜr kəlz
circling, sɜrkəlɪŋ, 'sɜr kə lɪŋ
circling, sɜrklɪŋ, 'sɜr klɪŋ
circuit, sɜrkət, 'sɜr kət
circuited, sɜrkətɪd, 'sɜr kə tɪd
circuitous, sərkjuɪtəs, sər'kju ɪ təs
circuitry, sɜrkətri, 'sɜr kə tri
circuits, sɜrkəts, 'sɜr kəts
circular, sɜrkjələr, 'sɜr kjə lər
circularize, sɜrkjələraɪz, 'sɜr kjə ləˌraɪz
circularizing, sɜrkjələraɪzɪŋ, 'sɜr kjə ləˌraɪ zɪŋ
circularly, sɜrkjələrli, 'sɜr kjə lər li
circulars, sɜrkjələrz, 'sɜr kjə lərz
circulate, sɜrkjəlet, 'sɜr kjəˌlet
circulated, sɜrkjəletəd, 'sɜr kjəˌle təd
circulated, sɜrkjəletɪd, 'sɜr kjəˌle tɪd
circulates, sɜrkjəlets, 'sɜr kjəˌlets
circulating, sɜrkjəletɪŋ, 'sɜr kjəˌle tɪŋ
circulation, sɜrkjəleʃən, 'sɜr kjəˌle ʃən
circulations, sɜrkjəleʃənz, ˌsɜr kjə'le ʃənz
circulatory, sɜrkjələtɔri, 'sɜr kjə ləˌtɔ ri
circumcise, sɜrkəmsaɪz, 'sɜr kəmˌsaɪz
circumcised, sɜrkəmsaɪzd, 'sɜr kəmˌsaɪzd
circumcision, sɜrkəmsɪʒən, ˌsɜr kəm'sɪ ʒən
circumference, sərkʌmfrəns, sər'kʌmf rəns
circumnavigate, sərkəmnævəget, sər kəm'næ və'get
circumscribe, sɜrkəmskraɪb, ˌsɜr kəm'skraɪb
circumscribed, sɜrkəmskraɪbd, ˌsɜr kəm'skraɪbd
circumspect, sɜrkəmspɛkt, 'sɜr kəmˌspɛkt
circumspection, sɜrkəmspɛkʃən, ˌsɜr kəm'spɛk ʃən
circumstance, sɜrkəmstæns, 'sɜr kəmˌstæns
circumstances, sɜrkəmstænsəz, 'sɜr kəmˌstæn səz
circumstances, sɜrkəmstænsɪz, 'sɜr kəmˌstæn sɪz
circumstantial, sɜrkəmstæntʃəl, ˌsɜr kəm'stæn tʃəl
circumstantial, sɜrkəmstænʃəl, ˌsɜr kəm'stæn ʃəl
circumstantially, sɜrkəmstæntʃəli, ˌsɜr kəm'stæn tʃə li
circumstantially, sɜrkəmstænʃəli, ˌsɜr kəm'stæn ʃə li
circumvent, sɜrkəmvɛnt, ˌsɜr kəm'vɛnt
circumvented, sɜrkəmvɛntɪd, ˌsɜr kəm'vɛn tɪd
circumventing, sɜrkəmvɛntɪŋ, ˌsɜr kəm'vɛn tɪŋ
circumvention, sɜrkəmvɛntʃən, ˌsɜr kəm'vɛn tʃən
circumvents, sɜrkəmvɛnts, ˌsɜr kəm'vɛnts
circus, sɜrkəs, 'sɜr kəs
circuses, sɜrkəsəz, 'sɜr kə səz
cirque, sɜrk, sɜrk
cirrhosis, sərosəs, sə'ro səs
cirrus, sɪrəs, 'sɪ rəs
cisco, sɪsko, 'sɪ sko
cist, sɪst, sɪst
cistern, sɪstərn, 'sɪ stərn
cisterns, sɪstərnz, 'sɪ stərnz
citadel, sɪtədɛl, 'sɪ təˌdɛl
citation, saɪteʃən, saɪ'te ʃən
citations, saɪteʃənz, saɪ'te ʃənz
cite, saɪt, saɪt
cited, saɪtəd, 'saɪ təd
cited, saɪtɪd, 'saɪ tɪd
cites, saɪts, saɪts
cities, sɪtiz, 'sɪ tiz
citing, saɪtɪŋ, 'saɪ tɪŋ
citizen, sɪtəzən, 'sɪ tə zən
citizen, sɪtɪzən, 'sɪ tɪ zən
citizenry, sɪtɪzənri, 'sɪ tɪ zən ri
citizens, sɪtəzənz, 'sɪ tə zənz
citizens, sɪtɪzənz, 'sɪ tɪ zənz
citizenship, sɪtɪzənʃɪp, 'sɪ tɪ zənˌʃɪp
citric, sɪtrɪk, 'sɪ trɪk
citrin, sɪtrɪn, 'sɪ trɪn
citrine, sɪtrin, ˌsɪ'trin
citron, sɪtrən, 'sɪ trən
citron, sɪtrənz, 'sɪ trənz
citronella, sɪtrɑnɛlə, ˌsɪ trɑ'nɛ lə
citrus, sɪtrəs, 'sɪ trəs
city, sɪti, 'sɪ ti
citywide, sɪtiwaɪd, 'sɪ tiˌwaɪd
civet, sɪvət, 'sɪ vət
civic, sɪvɪk, 'sɪ vɪk
civics, sɪvɪks, 'sɪ vɪks
civil, sɪvəl, 'sɪ vəl
civilian, səvɪljən, sə'vɪl jən
civilians, səvɪljənz, sə'vɪl jənz
civility, səvɪləti, sə'vɪ lə ti
civilization, sɪvəlɪzeʃən, ˌsɪ və lɪ'ze ʃən
civilizations, sɪvəlɪzeʃənz, ˌsɪ və lɪ'ze ʃənz
civilize, sɪvəlaɪz, 'sɪ vəˌlaɪz
civilized, sɪvəlaɪzd, 'sɪ vəˌlaɪzd
civilly, sɪvɪli, 'sɪ vɪ li
clack, klæk, klæk
clad, klæd, klæd
claim, klem, klem
claimant, klemənt, 'kle mənt
claimants, klemənts, 'kle mənts
claimed, klemd, klemd
claiming, klemɪŋ, 'kle mɪŋ
claims, klemz, klemz
clairvoyance, klɛrvɔɪəns, klɛr'vɔɪəns
clairvoyant, klɛrvɔɪənt, klɛr'vɔɪənt
clam, klæm, klæm
clamber, klæmbər, 'klæm bər
clambered, klæmbərd, 'klæm bərd
clammed, klæmd, klæmd
clammy, klæmi, 'klæ mi
clamor, klæmər, 'klæ mər
clamored, klæmərd, 'klæ mərd
clamoring, klæmərɪŋ, 'klæ mə rɪŋ
clamp, klæmp, klæmp
clampdown, klæmpdaʊn, 'klæmpˌdaʊn
clamped, klæmpt, klæmpt
clamping, klæmpɪŋ, 'klæm pɪŋ
clamps, klæmps, klæmps
clams, klæmz, klæmz
clamshell, klæmʃɛl, 'klæmˌʃɛl
clan, klæn, klæn
clandestine, klændɛstɪn, klæn'dɛ stɪn
clandestinely, klændɛstənli, klæn'dɛ stən li
clang, klæŋ, klæŋ
clanging, klæŋɪŋ, 'klæ ŋɪŋ
clank, klæŋk, klæŋk
clanking, klæŋkɪŋ, 'klæŋ kɪŋ
clannish, klænɪʃ, 'klæ nɪʃ
clans, klænz, klænz
clap, klæp, klæp
clapboard, klæpbɔrd, 'klæpˌbɔrd
clapboards, klæpbɔrdz, 'klæpˌbɔrdz
clapped, klæpt, klæpt
clapper, klæpər, 'klæ pər
clapping, klæpɪŋ, 'klæ pɪŋ
claps, klæps, klæps
clarence, klɛrəns, 'klɛ rəns
clarification, klɛrəfəkeʃən, ˌklɛ rə fə'ke ʃən
clarifications, klɛrɪfɪkeʃənz, ˌklɛ rɪ fɪ'ke ʃənz
clarified, klɛrəfaɪd, 'klɛ rəˌfaɪd
clarifies, klɛrəfaɪz, 'klɛ rəˌfaɪz
clarify, klɛrəfaɪ, 'klɛ rəˌfaɪ
clarifying, klɛrəfaɪɪŋ, 'klɛ rəˌfaɪ ɪŋ
clarinet, klɛrənɛt, ˌklɛ rə'nɛt
clarinetist, klɛrənɛtɪst, ˌklɛ rə'nɛ tɪst
clarinetists, klɛrənɛtɪsts, ˌklɛ rə'nɛ tɪsts
clarinetists, klɛrənɛtɪs, ˌklɛ rə'nɛ tɪs
clarion, klɛriən, 'klɛ riən
clarity, klɛrəti, 'klɛ rə ti
clarity, klɛrɪti, 'klɛ rɪ ti
claro, klɑro, 'klɑ ro
clary, klɛri, 'klɛ ri
clash, klæʃ, klæʃ
clashed, klæʃt, klæʃt
clashes, klæʃɪz, 'klæ ʃɪz
clashing, klæʃɪŋ, 'klæ ʃɪŋ
clasp, klæsp, klæsp
clasped, klæspt, klæspt
class, klæs, klæs
classed, klæst, klæst
classes, klæsəz, 'klæ səz
classes, klæsɪz, 'klæ sɪz
classic, klæsɪk, 'klæ sɪk
classical, klæsɪkəl, 'klæ sɪ kəl
classically, klæsɪkli, 'klæ sɪ kli
classicism, klæsɪsɪzəm, 'klæ sɪˌsɪ zəm
classicist, klæsəsəst, 'klæ sə səst
classics, klæsɪks, 'klæ sɪks
classier, klæsiər, 'klæ si ər
classifiable, klæsəfaɪəbəl, 'klæ səˌfaɪə bəl
classification, klæsəfəkeʃən, ˌklæ sə fə'ke ʃən
classifications, klæsəfəkeʃənz, ˌklæ sə fə'ke ʃənz
classified, klæsəfaɪd, 'klæ səˌfaɪd
classifies, klæsəfaɪz, 'klæ səˌfaɪz
classify, klæsəfaɪ, 'klæ səˌfaɪ
classifying, klæsəfaɪɪŋ, 'klæ səˌfaɪ ɪŋ
classing, klæsɪŋ, 'klæ sɪŋ
classless, klæsləs, 'klæs ləs
classmate, klæsmet, 'klæˌsmet
classmates, klæsmets, 'klæˌsmets
classroom, klæsrum, 'klæsˌrum
classrooms, klæsrumz, 'klæsˌrumz
classy, klæsi, 'klæ si
clatter, klætər, 'klæ tər
clattering, klætərɪŋ, 'klæ tə rɪŋ
clause, klɔz, klɔz
clauses, klɔzəz, 'klɔ zəz
clauses, klɔzɪz, 'klɔ zɪz
claustrophobia, klɔstrəfobiə, ˌklɔs trə'fo biə
claustrophobic, klɔstrəfobɪk, ˌklɔs trə'fo bɪk
clavichord, klævəkɔrd, 'klæ vəˌkɔrd
clavicle, klævəkəl, 'klæ və kəl
clavicle, klævɪkəl, 'klæ vɪ kəl
claw, klɔ, klɔ
clawed, klɔd, klɔd
clawing, klɔɪŋ, 'klɔ ɪŋ
claws, klɔz, klɔz
claxon, klæksən, 'klæk sən
clay, kle, kle
clayey, klei, 'kle i
claymore, klemɔr, 'kleˌmɔr
clays, klez, klez
clean, klin, klin
cleaned, klind, klind
cleaner, klinər, 'kli nər
cleaners, klinərz, 'kli nərz
cleanest, klinəst, 'kli nəst
cleaning, klinɪŋ, 'kli nɪŋ
cleanliness, klɛnlinɪs, 'klɛn li nɪs
cleanly, klinli, 'klin li
cleanness, klinnɪs, 'klin nɪs
cleanness, klinɪs, 'kli nɪs
cleans, klinz, klinz
cleanse, klɛnz, klɛnz
cleansed, klɛnzd, klɛnzd
cleanser, klɛnzər, 'klɛn zər
cleansers, klɛnzərz, 'klɛn zərz
cleansing, klɛnzɪŋ, 'klɛn zɪŋ
cleanup, klinʌp, 'kliˌnʌp
cleanups, klinʌps, 'kliˌnʌps
clear, klɪr, klɪr
clearance, klɪrəns, 'klɪ rəns
clearances, klɪrənsɪz, 'klɪ rən sɪz
cleared, klɪrd, klɪrd
clearer, klɪrər, 'klɪ rər
clearest, klɪrɪst, 'klɪ rɪst
clearing, klɪrɪŋ, 'klɪ rɪŋ
clearinghouse, klɪrɪŋhaʊs, 'klɪ rɪŋˌhaʊs
clearinghouses, klirɪŋhaʊsɪz, 'kli rɪŋˌhaʊ sɪz
clearly, klɪrli, 'klɪr li
clears, klɪrz, klɪrz
cleat, klit, klit
cleats, klits, klits
cleavage, klivədʒ, 'kli vədʒ
cleavage, klivɪdʒ, 'kli vɪdʒ
cleave, kliv, kliv
cleaver, klivər, 'kli vər
cleaves, klivz, klivz
cleek, klik, klik
clef, klɛf, klɛf
cleft, klɛft, klɛft
clematis, klɛmətɪs, 'klɛ mə tɪs
clematis, kləmætɪs, klə'mæ tɪs
clemency, klɛmənsi, 'klɛ mən si
clement, klɛmənt, 'klɛ mənt
clench, klɛntʃ, klɛntʃ
clenched, klɛntʃt, klɛntʃt
clencher, klɛntʃər, 'klɛn tʃər
clenches, klɛntʃəz, 'klɛn tʃəz
clergy, klɜrdʒi, 'klɜr dʒi
clergyman, klɜrdʒimən, 'klɜr dʒi mən
clergyman, klɜrdʒimæn, 'klɜr dʒiˌmæn
clergymen, klɜrdʒimɪn, 'klɜr dʒi mɪn
clergymen, klɜrdʒimɛn, 'klɜr dʒiˌmɛn
cleric, klɛrɪk, 'klɛ rɪk
clerical, klɛrəkəl, 'klɛ rə kəl
clerical, klɛrɪkəl, 'klɛ rɪ kəl
clerics, klɛrɪks, 'klɛ rɪks
clerk, klɜrk, klɜrk
clerks, klɜrks, klɜrks
clever, klɛvər, 'klɛ vər
cleverly, klɛvərli, 'klɛ vər li
cleverness, klɛvərnəs, 'klɛ vər nəs
clews, kluz, kluz
cliche, kliʃe, kli'ʃe
cliched, kliʃed, ˌkli'ʃed
cliches, kliʃez, kli'ʃez
click, klɪk, klɪk
clicked, klɪkt, klɪkt
clicker, klɪkər, 'klɪ kər
clicking, klɪkɪŋ, 'klɪ kɪŋ
clicks, klɪks, klɪks
client, klaɪənt, 'klaɪənt
clientele, klaɪəntɛl, ˌklaɪən'tɛl
clients, klaɪənts, 'klaɪənts
cliff, klɪf, klɪf
cliffhanger, klɪfhæŋər, 'klɪfˌhæ ŋər
cliffhangers, klɪfhæŋərz, 'klɪfˌhæ ŋərz
cliffs, klɪfs, klɪfs
clift, klɪft, klɪft
climactic, klaɪmæktɪk, klaɪ'mæk tɪk
climate, klaɪmət, 'klaɪ mət
climate, klaɪmɪt, 'klaɪ mɪt
climates, klaɪməts, 'klaɪ məts
climates, klaɪmɪts, 'klaɪ mɪts
climatic, klaɪmætɪk, klaɪ'mæ tɪk
climatologist, klɪmətɑlədʒɪst, ˌklɪ mə'tɑ lə dʒɪst
climatologist, klaɪmətɑlədʒɪst, ˌklaɪ mə'tɑ lə dʒɪst
climatologists, klɪmətɑlədʒɪsts, ˌklɪ mə'tɑ lə dʒɪsts
climatologists, klaɪmətɑlədʒɪsts, ˌklaɪ mə'tɑ lə dʒɪsts
climatologists, klɪmətɑlədʒɪs, ˌklɪ mə'tɑ lə dʒɪs
climatologists, klaɪmətɑlədʒɪs, ˌklaɪ mə'tɑ lə dʒɪs
climax, klaɪmæks, 'klaɪˌmæks
climaxed, klaɪmækst, 'klaɪˌmækst
climaxes, klɪmæksɪz, 'klɪ mæk sɪz
climaxes, klaɪmæksɪz, 'klaɪ mæk sɪz
climb, klaɪm, klaɪm
climbed, klaɪmd, klaɪmd
climber, klaɪmər, 'klaɪ mər
climbers, klaɪmərz, 'klaɪ mərz
climbing, klaɪmɪŋ, 'klaɪ mɪŋ
climbs, klaɪmz, klaɪmz
climes, klaɪmz, klaɪmz
clinch, klɪntʃ, klɪntʃ
clinched, klɪntʃt, klɪntʃt
clincher, klɪntʃər, 'klɪn tʃər
clinches, klɪntʃəz, 'klɪn tʃəz
clinches, klɪntʃɪz, 'klɪn tʃɪz
clinching, klɪntʃɪŋ, 'klɪn tʃɪŋ
cline, klaɪn, klaɪn
clines, klaɪnz, klaɪnz
cling, klɪŋ, klɪŋ
clinger, klɪŋər, 'klɪ ŋər
clinging, klɪŋɪŋ, 'klɪ ŋɪŋ
clings, klɪŋz, klɪŋz
clinic, klɪnɪk, 'klɪ nɪk
clinical, klɪnəkəl, 'klɪ nə kəl
clinical, klɪnɪkəl, 'klɪ nɪ kəl
clinically, klɪnɪkəli, 'klɪ nɪ kə li
clinically, klɪnɪkli, 'klɪ nɪ kli
clinician, klɪnɪʃən, klɪ'nɪ ʃən
clinicians, klɪnɪʃənz, klɪ'nɪ ʃənz
clinics, klɪnɪks, 'klɪ nɪks
clink, klɪŋk, klɪŋk
clip, klɪp, klɪp
clipboard, klɪpbɔrd, 'klɪpˌbɔrd
clipped, klɪpt, klɪpt
clipper, klɪpər, 'klɪ pər
clippers, klɪpərz, 'klɪ pərz
clipping, klɪpɪŋ, 'klɪ pɪŋ
clippings, klɪpɪŋz, 'klɪ pɪŋz
clips, klɪps, klɪps
clique, klik, klik
cliques, klɪks, klɪks
clitoris, klaɪtɔrɪs, klaɪ'tɔ rɪs
cloak, klok, klok
cloaked, klokt, klokt
cloaking, klokɪŋ, 'klo kɪŋ
cloakroom, klokrum, 'kloˌkrum
clobber, klɑbər, 'klɑ bər
clobbered, klɑbərd, 'klɑ bərd
clobbering, klɑbərɪŋ, 'klɑ bə rɪŋ
clock, klɑk, klɑk
clocked, klɑkt, klɑkt
clocker, klɑkər, 'klɑ kər
clockers, klɑkərz, 'klɑ kərz
clocking, klɑkɪŋ, 'klɑ kɪŋ
clocks, klɑks, klɑks
clockwise, klɑkwaɪz, 'klɑˌkwaɪz
clockwork, klɑkwɜrk, 'klɑˌkwɜrk
clog, klɑg, klɑg
clogged, klɔgd, klɔgd
clogging, klɑgɪŋ, 'klɑ gɪŋ
clogging, klɔgɪŋ, 'klɔ gɪŋ
clogs, klɑgz, klɑgz
cloister, klɔɪstər, 'klɔɪ stər
cloistered, klɔɪstərd, 'klɔɪ stərd
cloisters, klɔɪstərz, 'klɔɪ stərz
clone, klon, klon
cloned, klond, klond
clones, klonz, klonz
clonidine, klɑnɪdin, 'klɑ nɪˌdin
cloning, klonɪŋ, 'klo nɪŋ
close, klos, klos
close, kloz, kloz
closed, klozd, klozd
closedown, klozdaʊn, 'klozˌdaʊn
closedowns, klozdaʊnz, 'klozˌdaʊnz
closely, klosli, 'klos li
closeness, klosnɪs, 'klo snɪs
closer, klosər, 'klo sər
closer, klozər, 'klo zər
closes, klozɪz, 'klo zɪz
closest, klosəst, 'klo səst
closet, klɑzət, 'klɑ zət
closeted, klɑzətɪd, 'klɑ zə tɪd
closets, klɑzəts, 'klɑ zəts
closing, klozɪŋ, 'klo zɪŋ
closings, klozɪŋz, 'klo zɪŋz
closure, kloʒər, 'klo ʒər
closures, kloʒərz, 'klo ʒərz
clot, klɑt, klɑt
cloth, klɔθ, klɔθ
clothe, kloð, kloð
clothed, kloðd, kloðd
clothes, kloðz, kloðz
clothes, kloz, kloz
clotheshorse, klozhɔrs, 'klozˌhɔrs
clothier, kloðjər, 'kloð jər
clothiers, kloðjərz, 'kloð jərz
clothing, kloðɪŋ, 'klo ðɪŋ
cloths, klɔθs, klɔθs
clots, klɑts, klɑts
clotted, klɑtəd, 'klɑ təd
clotted, klɑtɪd, 'klɑ tɪd
clotting, klɑtɪŋ, 'klɑ tɪŋ
cloture, klotʃər, 'klo tʃər
cloud, klaʊd, klaʊd
cloudburst, klaʊdbɜrst, 'klaʊdˌbɜrst
clouded, klaʊdɪd, 'klaʊ dɪd
cloudiness, klaʊdinɪs, 'klaʊ di nɪs
clouding, klaʊdɪŋ, 'klaʊ dɪŋ
cloudless, klaʊdləs, 'klaʊd ləs
clouds, klaʊdz, klaʊdz
cloudy, klaʊdi, 'klaʊ di
clough, klaʊ, klaʊ
clout, klaʊt, klaʊt
clover, klovər, 'klo vər
cloverleaf, klovərlif, 'klo vərˌlif
cloves, klovz, klovz
clown, klaʊn, klaʊn
clowning, klaʊnɪŋ, 'klaʊ nɪŋ
clowns, klaʊnz, klaʊnz
cloy, klɔɪ, klɔɪ
cloying, klɔɪɪŋ, 'klɔɪ ɪŋ
club, klʌb, klʌb
clubbed, klʌbd, klʌbd
clubbing, klʌbɪŋ, 'klʌ bɪŋ
clubby, klʌbi, 'klʌ bi
clubhouse, klʌbhaʊs, 'klʌbˌhaʊs
clubhouses, klʌbhaʊsɪz, 'klʌbˌhaʊ sɪz
clubs, klʌbz, klʌbz
cluck, klʌk, klʌk
clucking, klʌkɪŋ, 'klʌ kɪŋ
clucks, klʌks, klʌks
clue, klu, klu
clued, klud, klud
clueless, kluləs, 'klu ləs
clues, kluz, kluz
clump, klʌmp, klʌmp
clumping, klʌmpɪŋ, 'klʌm pɪŋ
clumps, klʌmps, klʌmps
clumpy, klʌmpi, 'klʌm pi
clumsily, klʌmsəli, 'klʌm sə li
clumsiness, klʌmzinəs, 'klʌm zi nəs
clumsy, klʌmzi, 'klʌm zi
clung, klʌŋ, klʌŋ
clunk, klʌŋk, klʌŋk
clunker, klʌŋkər, 'klʌŋ kər
clunkers, klʌŋkərz, 'klʌŋ kərz
clunks, klʌŋks, klʌŋks
clunky, klʌŋki, 'klʌŋ ki
cluster, klʌstər, 'klʌ stər
clustered, klʌstərd, 'klʌ stərd
clustering, klʌstərɪŋ, 'klʌ stə rɪŋ
clusters, klʌstərz, 'klʌ stərz
clutch, klʌtʃ, klʌtʃ
clutched, klʌtʃt, klʌtʃt
clutches, klʌtʃəz, 'klʌ tʃəz
clutches, klʌtʃɪz, 'klʌ tʃɪz
clutching, klʌtʃɪŋ, 'klʌ tʃɪŋ
clutter, klʌtər, 'klʌ tər
cluttered, klʌtərd, 'klʌ tərd
cluttering, klʌtərɪŋ, 'klʌ tə rɪŋ
coach, kotʃ, kotʃ
coached, kotʃt, kotʃt
coaches, kotʃɪz, 'ko tʃɪz
coaching, kotʃɪŋ, 'ko tʃɪŋ
coachman, kotʃmən, 'kotʃ mən
coagulate, koægjəlet, ko'æg jəˌlet
coagulating, koægjəletɪŋ, ko'æg jəˌle tɪŋ
coagulation, koægjəleʃən, ko'æg jə'le ʃən
coal, kol, kol
coalesce, koəlɛs, ˌkoə'lɛs
coalesced, koəlɛst, ˌkoə'lɛst
coalescence, koəlɛsəns, ˌkoə'lɛ səns
coalesces, koəlɛsɪz, ˌkoə'lɛ sɪz
coalescing, koəlɛsɪŋ, ˌkoə'lɛ sɪŋ
coalition, koəlɪʃən, ˌkoə'lɪ ʃən
coalitions, koəlɪʃənz, ˌkoə'lɪ ʃənz
coals, kolz, kolz
coarse, kɔrs, kɔrs
coarsening, kɔrsɪnɪŋ, 'kɔr sɪ nɪŋ
coarser, kɔrsər, 'kɔr sər
coast, kost, kost
coastal, kostəl, 'ko stəl
coasted, kostɪd, 'ko stɪd
coaster, kostər, 'ko stər
coasters, kostərz, 'ko stərz
coasting, kostɪŋ, 'ko stɪŋ
coastline, kostlaɪn, 'kostˌlaɪn
coastlines, kostlaɪnz, 'kostˌlaɪnz
coasts, kosts, kosts
coasts, kos, kos
coat, kot, kot
coated, kotəd, 'ko təd
coated, kotɪd, 'ko tɪd
coating, kotɪŋ, 'ko tɪŋ
coatings, kotɪŋz, 'ko tɪŋz
coats, kots, kots
coattail, kottel, 'kotˌtel
coattails, kottelz, 'kotˌtelz
coauthor, koɑθər, 'ko'ɑ θər
coauthored, koɑθərd, 'ko'ɑ θərd
coauthoring, koɑθərɪŋ, 'ko'ɑ θə rɪŋ
coauthors, koɑθərz, 'ko'ɑ θərz
coax, koks, koks
coaxed, kokst, kokst
